Battery,Finding,Hash,TXHash,Block,Date
B60,Pipeline Propagation,0x967ddd2abb5f8b4f60f46fb92db4a3cae97116efc09e3cfd8f97fba06a714f95,0x0564dbe0d98341dc4fa4627e64dccdc645cdc76c86812dfe369d24a197cecff4,24812232,20260404
B61,RTI Temporal Stability,0x743af8e5942189fc77c5c87f0fc0abce93fb9493fa3d019a8a8535dd19accd86,0x4b6a642854c2940396024739ab82e64eb75298aa8a4684a0ae74e396f2e075bd,24812363,20260405
B62,RTI Epistemic Gap,0xbe9dc1e8074553888884801a921b49c8377ab5176c2a34414a0e1d040e6fbafc,0x221fd8a7171ac18224ed95753b87aedbb303d7e07a30df2fad7919d833b1765c,24813473,20260405
B63,AIE-001 Anchoring Inversion,0x828921483b2ad642cc351c6114ceecdf3f27228f2ee2c1a4ff993679993c53cd,0x7dcd65c0574b518a303bf805fdb3282303ff761bd15967d1a330a1d82a3cbf52,24812619,20260405
B64,AIE-002 Injection Point,0x13697f08d263001e6f9b590b9e1aa8c27c8c325774bab8949230d1473c85929d,0x9bb8f8fda5bfc5e5d99596db73274189072b6c1e21bd258f7580b1207716c997,24813357,20260405
B65,PDAD-001 Position Alignment,0xf55600d9d07dd2c480c1c7cb928ba4d4abbfa6bcf07d81cd5d55ebc9f993052c,0xeda485bf9093e6c0f81c4d6ed066a1918860069661aeee16468a278c8e86979a,24815870,20260405
B66,GTC-001 External Verification,0x4af61c39625622340e528ccd001f23540658e5e9bcd27c20d5297e78e094db37,0x2d7917bee18e2069b08c067996b5e52322cece9ffa44fcee844856dca9b855b2,24816228,20260405
B67,Oscillatory Drift,0xf1153889df936165cdf5447a9dbe1c493a089820099301dd317597a2814beab9,0x54ba37181089949e073f77b40063aa03982ddb49d2a432af76740130e504e0b6,24816423,20260405
B68,PRS-001 Pressure Reversal,0xb7824d282d536f5b330141522c8a74b246822afc5b1d7a10ad7c55d910772597,0x977e2a850d9a378aa274cbc9842c7ca83bda59487ec76e4d7a2fd0bbd537cbee,24816522,20260405
B69,TGA-001 Task Grounding,0xab946aa17ef43bfb9c69adcc70c980e09c534ce48218967f503d177f9dccf34d,0x1d8365ee6308d786c6a1ad62180f73f44fb136d229b354c07f12ec69a816f585,24817165,20260405
B70,Grounding Threshold Known,0x97508365d58771f71f19a554f77e8aaea7e299ac00feaa220b45e840f0ac27c3,0x26ffc1014f15a04b68724deda17c5d692c982b030b485949be71ff6d8eeb46b2,24820071,20260406
B71,MGT-001 Min Grounding,0x7a74a450244fbc35f01a85902062cc497128cb155af44514ceb2e362f32b53a3,0x1428434affdd60f75ead5280bc82250476613e67683476b859456def874035ec,24820444,20260406
B72,Live Demo Pipeline Integrity,0x6b15982b5f7fbee914a91a75405209370e4f57f3b4ea337c01db43e71fcbfe1c,0x558e3d289279a86feb34c2c894afa2123a8ff239ee165af26ac8698f3f903b88,24820924,20260406
B73,Hard Anchor Paradox Closure,0x2c8c5a2ed1f7b16bb69c7ef9a81f1ac38ea5560da4e32c041391ef997b109630,0x2c8c5a2ed1f7b16bb69c7ef9a81f1ac38ea5560da4e32c041391ef997b109630,24820444,20260406
B74,AOG-001 Authority vs Grounding,0x550590bcd18723532367b3cb7b6c9148ff58da2988e6f5bb6a0701a73a82ffce,0xd8d261b7b3c17b2100957a84997f42f92c3633e4c9240011e7bc429859dd02f1,24821245,20260406
B75,CMRC-001 Cross-Model Reasoning Contamination,0x3f3d6586706701a162939bc0df14d95c790b1fd050836ec022da7d9fd7032b3c,0x066e36e5148e8b49ef1c4e442eae380b40a40d24329e85e6cd32c2a51bbabae6,24821611,20260406
B75b,CMRC-001 Replication Dual Judge,0x2c94042eb84193ff8110dd22a5b4be56299db5bcd458f79709e3f68d649f5c2d,0x1306685ef3960ef94c7520aac998c0849b0d527d5977f9e9509e055445e78cdd,24822127,20260406
